variable,Pulsed,Steady-state
t_plant_pulse_burn,7233.045171656408,1000.0
f_c_plasma_non_inductive,0.5948949418999109,1.0
f_c_plasma_bootstrap,0.37871139148540467,0.551127884611905
p_hcd_injected_total_mw,161.42636691437815,199.99997476210376
p_plant_electric_recirc_mw,689.7136469174671,815.9646578676991
f_p_plant_electric_recirc,0.6329192453897161,0.671042917559191
coe,542.1932943464013,1208.3455769287657
rmajor,8.000000000337877,8.000000000020023
p_plant_electric_net_mw,400.02039410190525,400.00027748343655
hfact,1.1999910896735007,1.6786557308668029
beta_total_vol_avg,0.04602698343792236,0.06560675874083857
p_plasma_separatrix_mw,143.83330683342348,117.75912180141944
