p_hcd_injected_max,ifail,p_hcd_injected_total_mw,f_c_plasma_non_inductive,f_c_plasma_bootstrap,coe,p_plant_electric_net_mw,hfact,beta_total_vol_avg
145.0,1,133.65865861256458,1.0,0.5955844221051666,1171.765283829834,400.0013690320262,1.8140860880269176,0.06828574354740714
155.0,1,154.99751571729757,1.0,0.5654492847341736,1152.6158568606613,400.00599770263807,1.7203437439707767,0.0665124535621473
165.0,1,164.9993884673323,1.0,0.559983030845298,1165.8435904739672,400.05408566278015,1.7152541350205335,0.06656327126355023
175.0,1,174.9998839898152,1.0,0.5569859422730937,1177.0679934345114,400.1088765170284,1.6972430196171973,0.06624692370374409
185.0,1,184.98691010717147,1.0,0.5588972229242686,1190.1643337136213,400.03887770682036,1.7056323106867555,0.06667830662772166
195.0,1,194.71812177102618,1.0,0.5536223768191313,1201.9149197822205,400.2066936053767,1.687323463187798,0.06610724415026617
205.0,1,204.98185783801154,1.0,0.5478523827754253,1214.2190638604795,400.0024670580751,1.669144389510065,0.06527661122778558
215.0,1,214.96394751696144,1.0,0.5406629437802238,1225.7221189374293,400.1413979425099,1.648787186389858,0.0646525006681793
225.0,1,215.574370241331,1.0,0.5400022601779437,1226.3606413660095,400.14612696844017,1.6473764908809188,0.06458474428888417
235.0,1,215.57438726014684,1.0,0.540002237897553,1226.360655172929,400.1461247456482,1.6473764765754588,0.06458474247748382
245.0,1,215.5743934670897,1.0,0.5400022298873568,1226.360660158657,400.1461239249238,1.647376471348481,0.06458474183569211
